Plot_ID,Point_No,Latitude,Longitude,Shape_Type,Actual_Area_Acre,Boundary_Error
P001,1,16.7051,74.2431,Rectangle,1.20,0
P001,2,16.7051,74.2441,Rectangle,1.20,0
P001,3,16.7061,74.2441,Rectangle,1.20,0
P001,4,16.7061,74.2431,Rectangle,1.20,0
,,,,,,
P002,1,16.7070,74.2450,Triangle,0.80,0
P002,2,16.7078,74.2458,Triangle,0.80,0
P002,3,16.7085,74.2451,Triangle,0.80,0
,,,,,,
P003,1,16.7090,74.2460,Rectangle,2.10,0
P003,2,16.7090,74.2475,Rectangle,2.10,0
P003,3,16.7102,74.2475,Rectangle,2.10,0
P003,4,16.7102,74.2460,Rectangle,2.10,0
,,,,,,
P004,1,16.7110,74.2480,Irregular,1.50,0
P004,2,16.7115,74.2487,Irregular,1.50,0
P004,3,16.7122,74.2483,Irregular,1.50,0
P004,4,16.7118,74.2475,Irregular,1.50,0
P004,5,16.7112,74.2472,Irregular,1.50,0
,,,,,,
P005,1,16.7130,74.2490,Triangle,0.95,0
P005,2,16.7138,74.2498,Triangle,0.95,0
P005,3,16.7142,74.2491,Triangle,0.95,0
,,,,,,
P006,1,16.7150,74.2500,Rectangle,3.20,0
P006,2,16.7150,74.2520,Rectangle,3.20,0
P006,3,16.7165,74.2520,Rectangle,3.20,0
P006,4,16.7165,74.2500,Rectangle,3.20,0
,,,,,,
P007,1,16.7170,74.2530,Irregular,2.40,0
P007,2,16.7176,74.2537,Irregular,2.40,0
P007,3,16.7184,74.2533,Irregular,2.40,0
P007,4,16.7180,74.2525,Irregular,2.40,0
P007,5,16.7173,74.2522,Irregular,2.40,0
,,,,,,
P008,1,16.7190,74.2540,Rectangle,4.00,0
P008,2,16.7190,74.2565,Rectangle,4.00,0
P008,3,16.7210,74.2565,Rectangle,4.00,0
P008,4,16.7210,74.2540,Rectangle,4.00,0
,,,,,,
P009,1,16.7220,74.2570,Triangle,1.70,0
P009,2,16.7228,74.2579,Triangle,1.70,0
P009,3,16.7236,74.2571,Triangle,1.70,0
,,,,,,
P010,1,16.7240,74.2580,Irregular,2.90,1
P010,2,16.7247,74.2588,Irregular,2.90,0
P010,3,16.7255,74.2583,Irregular,2.90,0
P010,4,16.7250,74.2574,Irregular,2.90,0
P010,5,16.7242,74.2571,Irregular,2.90,0
